init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,2,250,3,5,3,-1253.0385185278583,"[[0.54183813 0.04389575 0.81344307 0.56927298 0.37585734]
 [0.84636488 0.18655693 0.62414266 0.0877915  0.59122085]
 [0.10973937 0.18655693 0.45816187 0.18655693 0.10973937]]","[[1 2 1 3 3]
 [1 3 2 2 3]
 [3 1 1 2 1]]",[0.25924451 0.36177815 0.37897734],0.12476706504821777,0.028687888875813628,0.13333333333333333,0.02311082533851313
random,3,250,3,5,3,-1109.128961586,"[[0.74211248 0.15363512 0.3648834  0.25788752 0.33196159]
 [0.59122085 0.95610425 0.7914952  0.95610425 0.30178326]
 [0.43072702 0.10973937 0.54183813 0.2085048  0.40877915]]","[[3 1 2 1 1]
 [1 2 2 3 2]
 [2 3 2 3 1]]",[0.42318735 0.45930396 0.11750868],0.14502716064453125,0.00921265575907933,0.0,0.017861245508636457
random,4,250,3,5,3,-1110.0784877719952,"[[0.84636488 0.48010974 0.95610425 0.95610425 0.10973937]
 [0.59122085 0.0877915  0.23593964 0.10973937 0.9122085 ]
 [0.33196159 0.89026063 0.74211248 0.9122085  0.43072702]]","[[3 3 2 2 2]
 [1 1 2 3 1]
 [2 3 2 1 1]]",[0.10368149 0.63194981 0.2643687 ],0.06795907020568848,0.03204582862221238,0.13333333333333333,0.02799644920535229
random,5,250,3,5,3,-1153.2405070277468,"[[0.54183813 0.85733882 0.51989026 0.84636488 0.04389575]
 [0.04389575 0.04389575 0.95610425 0.6351166  0.45816187]
 [0.74211248 0.18655693 0.10973937 0.81344307 0.70919067]]","[[3 2 3 3 1]
 [2 1 1 3 1]
 [3 2 1 2 2]]",[0.30968576 0.40669013 0.28362411],0.6593117713928223,0.024135514138817378,0.06666666666666667,0.02479515811702838
random,6,250,3,5,3,-1049.2221789474775,"[[0.89026063 0.81344307 0.37585734 0.23593964 0.0877915 ]
 [0.70919067 0.95610425 0.40877915 0.70919067 0.76406036]
 [0.25788752 0.9122085  0.10973937 0.45816187 0.33470508]]","[[3 2 1 3 2]
 [3 1 3 2 2]
 [2 2 1 2 1]]",[0.32636197 0.53954311 0.13409493],0.05265092849731445,0.029886230372744838,0.13333333333333333,0.025817045695430068
random,7,250,3,5,3,-1123.7689862435516,"[[0.76406036 0.48010974 0.0877915  0.37585734 0.9122085 ]
 [0.18655693 0.51989026 0.95610425 0.04389575 0.70919067]
 [0.9122085  0.10973937 0.66529492 0.9122085  0.15363512]]","[[1 2 3 1 2]
 [3 1 2 1 3]
 [3 1 3 1 1]]",[0.23837763 0.38237747 0.37924489],0.027402877807617188,0.013958415481386533,0.13333333333333333,0.01916656100374101
random,8,250,3,5,3,-1175.2333368774898,"[[0.74211248 0.52400549 0.81344307 0.84636488 0.95610425]
 [0.59122085 0.40877915 0.95610425 0.40877915 0.10973937]
 [0.04389575 0.95610425 0.04389575 0.30178326 0.0877915 ]]","[[1 2 2 2 3]
 [1 1 1 2 2]
 [3 2 3 1 2]]",[0.08646812 0.24553691 0.66799497],0.08761906623840332,0.030521723475141753,0.13333333333333333,0.03082216657113418
random,9,250,3,5,3,-1093.7134514638385,"[[0.3648834  0.54183813 0.43072702 0.30178326 0.76406036]
 [0.95610425 0.54183813 0.04389575 0.10973937 0.9122085 ]
 [0.66803841 0.95610425 0.66803841 0.54183813 0.66803841]]","[[3 1 3 2 3]
 [1 3 1 2 3]
 [1 1 3 2 1]]",[0.34714004 0.2034238  0.44943616],0.03352999687194824,0.01612180273402159,0.06666666666666667,0.016335662560951775
kmeans,0,250,3,5,3,-1147.0850199182507,"[[0.40877915 0.66529492 0.15363512 0.59122085 0.10973937]
 [0.62414266 0.95610425 0.0877915  0.10973937 0.0877915 ]
 [0.85733882 0.62414266 0.89026063 0.89026063 0.59122085]]","[[1 3 2 3 2]
 [1 2 2 2 1]
 [3 1 3 1 1]]",[0.20724472 0.46891507 0.32384021],0.10726094245910645,0.1179695098610698,0.26666666666666666,0.10912039443870318
kmeans,1,250,3,5,3,-1121.299847198949,"[[0.33196159 0.48010974 0.2085048  0.66803841 0.04389575]
 [0.54183813 0.76406036 0.37585734 0.9122085  0.04389575]
 [0.95610425 0.18655693 0.43072702 0.15363512 0.30178326]]","[[2 1 2 2 2]
 [2 1 1 2 3]
 [1 1 2 1 1]]",[0.31175844 0.56635907 0.12188249],0.09412670135498047,0.22656851806939876,0.2,0.10137253952592626
